"id","nome","preco","descricao","imagemUrl","codigoBarras","disponivel","createdAt","updatedAt"
"1","Test Product","99.99","Test Description","test.jpg","1234567890123","true","2025-09-06","2025-09-06"
"2","Teclado","199.99","Teclado mecânico","teclado.jpg","1234567890123","true","2025-09-06","2025-09-06"
"3","Mouse","89.99","Mouse óptico","mouse.jpg","1234567890124","true","2025-09-06","2025-09-06"
"4","Monitor","599.99","Monitor LED","monitor.jpg","1234567890125","true","2025-09-06","2025-09-06"
"5","Test Product","99.99","Test Description","test.jpg","1234567890123","true","2025-09-06","2025-09-06"
"6","Teclado","199.99","Teclado mecânico","teclado.jpg","1234567890123","true","2025-09-06","2025-09-06"
"7","Mouse","89.99","Mouse óptico","mouse.jpg","1234567890124","true","2025-09-06","2025-09-06"
"8","Monitor","599.99","Monitor LED","monitor.jpg","1234567890125","true","2025-09-06","2025-09-06"
"1","Test Product","99.99","Test Description","test.jpg","1234567890123","true","2025-09-06","2025-09-06"
"1","Teclado","199.99","Teclado mecânico","teclado.jpg","1234567890123","true","2025-09-06","2025-09-06"
"2","Mouse","89.99","Mouse óptico","mouse.jpg","1234567890124","true","2025-09-06","2025-09-06"
"3","Monitor","599.99","Monitor LED","monitor.jpg","1234567890125","true","2025-09-06","2025-09-06"
